sitios,n,h,D1(cm),D2(cm),Dp,PFH,PFT,PFTT,PSFH,PSFT,PSFTT
1,1,18,37,27,32,30,40,70,3.136,31.535,34.671
1,2,25,18,17,17.5,20,40,60,3.267,31.309,34.576
1,3,45,51,37,44,45,50,95,9.138,28.681,37.819
1,4,78,118,104,111,280,695,975,67.745,592.462,660.207
1,5,97,135,105,120,365,655,1020,66.261,592.6,658.861
1,6,102,168,153,160.5,750,1890,2640,239.824,1861.506,2101.33
1,7,129,190,181,185.5,475,2370,2845,126.489,2147.775,2274.264
1,8,150,160,148,154,790,2625,3415,241.099,2390.03,2631.129
1,9,170,165,160,162.5,605,2645,3250,188.392,2328.98,2517.372
1,10,190,200,190,195,465,2615,3080,168.891,2120.486,2289.377
1,11,260,290,198,244,490,5305,5795,148.9,4454.693,4603.593
2,1,17,25,23,24,5,10,15,0.821,2.817,3.638
2,2,37,46,34,40,10,25,35,3.254,23.727,26.981
2,3,45,80,52,66,15,50,65,6.414,49.776,56.19
2,4,70,69,60,64.5,55,135,190,14.759,104.446,119.205
2,5,89,136,115,125.5,165,545,710,54.252,484.524,538.776
2,6,108,160,141,150.5,235,975,1210,57.026,848.513,905.539
2,7,130,130,118,124,235,1090,1325,45.397,981.923,1027.32
2,8,154,140,120,130,210,935,1145,65.895,860.501,926.396
2,9,163,137,114,125.5,110,775,885,28.696,633.84,662.536
2,10,196,210,208,209,585,5330,5915,122.413,4581.88,4704.293
2,11,206,160,150,155,280,2775,3055,87.364,2272.483,2359.847
3,1,15,33,30,31.5,35,80,115,24.067,24.342,48.409
3,2,35,63,42,52.5,35,90,125,10.13,58.963,69.093
3,3,60,80,75,77.5,90,285,375,24.662,197.459,222.121
3,4,69,130,120,125,175,675,850,51.29,534.978,586.268
3,5,96,110,100,105,150,545,695,44.635,452.208,496.843
3,6,113,160,150,155,155,1505,1660,52.366,2041.876,2094.242
3,7,139,180,165,172.5,395,2415,2810,196.377,1868.936,2065.313
3,8,145,215,160,187.5,525,4220,4745,240.89,3031.828,3272.718
3,9,175,180,170,175,245,1930,2175,94.451,1472.957,1567.408
3,10,195,230,210,220,640,6015,6655,315.798,4721.983,5037.781
3,11,295,265,240,252.5,565,8385,8950,272.323,6521.953,6794.276
4,1,20,33,27,30,20,25,45,2.77,8.149,10.919
4,2,38,47,34,40.5,25,75,100,7.498,27.724,35.222
4,3,50,86,68,77,90,155,245,28.505,91.525,120.03
4,4,76,76,67,71.5,180,275,455,64.24,207.044,271.284
4,5,86,160,130,145,225,905,1130,72.318,757.798,830.116
4,6,110,120,110,115,250,1085,1335,100.054,862.682,962.736
4,7,137,142,140,141,235,1230,1465,106.612,912.442,1019.054
4,8,143,185,100,142.5,420,1530,1950,207.227,1170.318,1377.545
4,9,170,153,130,141.5,185,2185,2370,79.649,1687.16,1766.809
4,10,200,115,95,105,240,1245,1485,85.582,937.809,1023.391
4,11,215,175,110,142.5,275,2940,3215,114.553,2222.348,2336.901
5,1,12,14,13,13.5,45,50,95,1.34,1.697,3.037
5,2,34,37,36,36.5,60,75,135,7.307,20.539,27.846
5,3,50,50,45,47.5,55,125,180,3.847,66.596,70.443
5,4,70,80,60,70,60,235,295,9.495,158.982,168.477
5,5,93,100,90,95,105,775,880,33.139,648.878,682.017
5,6,110,140,130,135,175,1200,1375,82.184,928.196,1010.38
5,7,140,150,80,115,220,2630,2850,97.706,2292.398,2390.104
5,8,160,200,170,185,155,2325,2480,62.108,1831.717,1893.825
5,9,170,230,200,215,150,2550,2700,71.975,2132.252,2204.227
5,10,195,160,80,120,110,1285,1395,33.928,956.487,990.415
5,11,300,230,120,175,395,6325,6720,171.492,5136.296,5307.788
6,1,20,26,20,23,45,50,95,1.468,5.265,6.733
6,2,35,40,30,35,50,80,130,3.945,26.767,30.712
6,3,45,50,40,45,60,105,165,12.159,46.776,58.935
6,4,70,66,50,58,65,120,185,13.507,57.388,70.895
6,5,100,110,100,105,205,765,970,90.333,591.331,681.664
6,6,119,140,135,137.5,215,1280,1495,91.452,986.03,1077.482
6,7,130,110,100,105,260,1430,1690,118.742,1035.187,1153.929
6,8,155,110,100,105,130,980,1110,49.052,739.559,788.611
6,9,171,170,160,165,290,2795,3085,140.972,2201.753,2342.725
6,10,182,190,120,155,490,2215,2705,208.215,1654.016,1862.231
6,11,220,230,180,205,420,5290,5710,205.155,4232.228,4437.383
